name,nbar,maxChar,aspectRatio,bandwidth,rotation,orientation
51_2,23,8,1.25,1,0,1
53_1,5,13,2,0.8,0,1
53_2,5,13,2,0.9,0,1
54_1,20,4,0.75,0.4,0,1
54_2,20,4,2,0.3,-90,0
55_1,25,6,1,0.5,-45,0
55_2,25,6,0.75,0.5,0,1
56_1,22,9,0.75,0.9,0,1
56_2,22,9,1.25,0.4,0,1
58_1,10,3,1.75,0.4,-45,0
58_2,10,3,0.75,0.5,0,1
59_1,15,13,1.25,0.9,0,1
59_2,15,13,0.75,0.6,0,1
61_1,8,3,2,0.8,0,0
61_2,8,3,0.5,1,0,1
62_1,8,4,0.75,0.7,0,0
62_2,8,4,0.75,0.8,0,0
63_1,8,4,0.5,1,0,0
63_2,8,4,1,0.6,0,1
64_1,6,10,0.5,0.7,0,1
64_2,6,10,2,0.6,-90,0
66_1,10,3,0.75,1,-45,0
66_2,10,3,1.5,0.9,0,1
67_1,18,9,1.25,0.4,0,1
67_2,18,9,1,0.4,-45,0
69_1,23,3,1.5,0.5,-90,0
69_2,23,3,1.25,0.9,0,1
70_1,21,10,1.75,0.4,0,1
70_2,21,10,1,0.6,-45,0
71_1,19,6,1,0.5,0,1
71_2,19,6,2,0.6,0,1
72_1,18,4,1.75,1,-90,0
72_2,18,4,1.5,0.6,0,1
73_1,14,6,1.25,0.8,0,1
73_2,14,6,1,1,0,1
74_1,22,14,0.5,1,-90,0
74_2,22,14,0.75,0.6,0,1
75_1,6,3,0.75,0.6,0,1
75_2,6,3,1.5,0.5,0,1
76_1,16,5,0.5,0.4,0,1
76_2,16,5,0.75,0.6,0,1
77_1,11,6,1.5,0.3,0,1
77_2,11,6,1.25,1,0,1
78_1,10,9,2,0.5,0,1
78_2,10,9,0.75,0.3,-45,0
79_1,24,5,0.75,0.4,0,1
79_2,24,5,1.5,0.6,-45,0
80_1,10,9,0.75,0.3,-45,0
80_2,10,9,1.75,0.8,0,0
81_1,22,14,2,0.9,0,1
81_2,22,14,1.75,0.3,0,1
82_1,18,12,1.25,0.7,-90,0
82_2,18,12,1.5,0.4,0,1
83_1,10,5,1.25,0.5,0,1
83_2,10,5,2,0.3,-90,0
84_1,22,12,0.5,0.7,0,1
84_2,22,12,1.75,0.3,-45,0
85_1,19,6,1,0.5,-90,0
85_2,19,6,2,0.3,0,0
86_1,11,3,0.5,1,0,0
86_2,11,3,2,0.7,0,1
87_1,6,5,0.75,0.4,0,1
87_2,6,5,2,1,0,1
88_1,21,8,1.5,0.5,-90,0
88_2,21,8,1.25,0.8,-90,0
89_1,21,6,2,0.4,-90,0
89_2,21,6,0.5,0.8,0,1
90_1,23,12,0.75,0.7,0,1
90_2,23,12,2,0.4,0,1
92_1,25,9,0.75,0.8,0,1
92_2,25,9,2,0.9,0,1
94_1,20,8,1.75,0.6,0,1
94_2,20,8,1,0.6,0,1
96_1,7,11,1,0.3,0,1
96_2,7,11,1.25,0.5,0,0
97_1,21,5,2,0.8,-90,0
97_2,21,5,0.5,0.7,0,1
98_1,5,10,1.75,1,0,1
98_2,5,10,0.5,0.4,0,1
99_1,23,3,0.75,0.6,-45,0
99_2,23,3,1.25,0.9,-90,0
104_1,12,11,0.5,0.7,0,1
104_2,12,11,1.25,0.5,0,1
105_1,8,4,1.75,0.9,0,1
105_2,8,4,0.5,0.5,-90,0
106_1,15,6,1.75,0.9,-90,0
106_2,15,6,0.75,0.5,0,1
107_1,10,13,2,0.5,-45,0
107_2,10,13,1.25,0.3,-90,0
108_1,16,10,0.75,0.6,-90,0
108_2,16,10,0.75,0.5,0,1
109_1,5,9,1.75,0.9,-45,0
109_2,5,9,1.5,0.5,0,1
110_1,23,14,1.75,0.6,0,1
110_2,23,14,1.5,1,-45,0
111_1,18,13,0.5,0.4,-45,0
111_2,18,13,0.75,0.6,0,1
112_1,12,9,1.25,0.6,0,1
112_2,12,9,1.5,0.4,0,1
114_1,8,8,1.75,0.4,0,1
114_2,8,8,2,1,-90,0
115_1,22,11,1.5,0.6,-90,0
115_2,22,11,1.75,0.5,-90,0
116_1,8,8,0.75,0.7,-45,0
116_2,8,8,0.5,0.5,0,1
117_1,16,4,2,0.4,-45,0
117_2,16,4,1.25,0.9,-45,0
118_1,14,3,1.25,0.4,-90,0
118_2,14,3,1,1,0,0
119_1,23,13,1,0.7,-90,0
119_2,23,13,1,0.7,0,1
120_1,22,14,2,0.4,0,1
120_2,22,14,1.25,0.5,-90,0
121_1,9,8,1.75,0.9,0,0
121_2,9,8,1.25,1,0,1
122_1,20,12,1.5,0.6,0,1
122_2,20,12,1.5,0.7,0,1
123_1,24,4,1.75,0.9,0,1
123_2,24,4,0.5,0.9,-90,0
125_1,24,11,1,0.6,0,1
125_2,24,11,0.75,1,-45,0
126_1,25,5,1.25,0.9,0,1
126_2,25,5,1.25,0.4,0,1
127_1,15,3,0.5,0.6,0,1
127_2,15,3,0.75,0.4,0,0
129_1,14,8,1.5,0.4,0,1
129_2,14,8,2,0.5,0,1
130_1,7,4,1.25,0.5,0,0
130_2,7,4,0.5,0.8,-90,0
131_1,14,6,1.5,0.9,0,1
131_2,14,6,1.75,0.9,0,0
132_1,24,4,0.5,0.3,-45,0
132_2,24,4,2,0.6,-90,0
133_1,6,13,2,0.9,0,1
133_2,6,13,1.5,0.4,-45,0
135_1,6,3,1,0.8,0,0
135_2,6,3,0.5,0.3,0,0
136_1,22,7,0.75,0.8,0,1
136_2,22,7,0.75,0.5,0,1
138_1,25,9,2,0.5,0,1
138_2,25,9,0.5,0.5,-45,0
139_1,19,8,1.75,0.7,0,1
139_2,19,8,0.5,1,0,1
141_1,10,12,1.5,0.3,-45,0
141_2,10,12,1.75,0.5,0,1
142_1,16,5,1.75,1,-45,0
142_2,16,5,0.5,0.8,0,1
143_1,12,12,1.5,0.3,-45,0
143_2,12,12,2,0.3,-90,0
144_1,11,4,1.25,0.9,0,1
144_2,11,4,0.5,0.6,0,1
145_1,24,14,2,0.6,0,1
145_2,24,14,0.75,0.4,0,1
146_1,5,14,0.5,0.8,0,1
146_2,5,14,1,0.4,0,1
147_1,24,11,1.5,0.9,0,1
147_2,24,11,1,0.3,0,1
148_1,21,3,1.75,0.5,0,1
148_2,21,3,0.75,1,0,1
149_1,11,8,1.25,0.6,0,1
149_2,11,8,2,1,-45,0
153_1,7,5,1.25,0.7,0,0
153_2,7,5,0.5,0.3,-90,0
154_1,9,14,1.5,0.3,-45,0
154_2,9,14,1,0.4,0,1
155_1,15,7,0.5,1,0,1
155_2,15,7,0.75,0.5,-45,0
156_1,25,14,0.75,0.4,-45,0
156_2,25,14,2,0.6,-90,0
159_1,21,11,1,0.8,0,1
159_2,21,11,0.75,0.4,-90,0
160_1,19,13,1.25,0.3,-90,0
160_2,19,13,2,0.8,0,1
161_1,15,5,2,0.5,0,1
161_2,15,5,1.75,0.4,-45,0
162_1,9,5,1.75,0.5,-45,0
162_2,9,5,1.5,1,0,1
164_1,9,14,2,0.3,-45,0
164_2,9,14,0.5,1,-45,0
165_1,12,10,0.75,0.9,-45,0
165_2,12,10,1.25,0.9,0,1
166_1,19,13,0.5,0.7,0,1
166_2,19,13,1,0.3,-90,0
167_1,11,7,1,0.8,-45,0
167_2,11,7,1.5,0.7,0,0
168_1,17,14,0.75,0.6,-45,0
168_2,17,14,0.75,0.4,0,1
169_1,9,13,1,0.8,0,1
169_2,9,13,1.75,0.8,-90,0
170_1,23,10,0.5,0.9,0,1
170_2,23,10,1.25,0.4,-90,0
171_1,19,13,2,1,0,1
171_2,19,13,1.25,0.6,0,1
172_1,23,11,2,0.6,0,1
172_2,23,11,1,0.8,0,1
173_1,24,9,0.75,0.6,-90,0
173_2,24,9,1.75,0.8,0,1
174_1,23,4,1.5,1,0,1
174_2,23,4,1.25,0.8,0,1
175_1,18,8,1.25,0.6,0,1
175_2,18,8,1.25,1,-45,0
177_1,14,12,1,0.3,-90,0
177_2,14,12,0.5,0.6,0,1
178_1,12,11,1.75,0.9,0,1
178_2,12,11,2,1,0,0
182_1,6,3,1.75,1,0,1
182_2,6,3,1,0.5,-90,0
183_1,17,7,0.75,0.4,0,1
183_2,17,7,1.5,0.5,0,1
184_1,10,14,1.25,0.9,0,1
184_2,10,14,1.25,0.4,0,1
185_1,18,4,1.25,0.6,0,1
185_2,18,4,0.75,0.8,-90,0
186_1,24,5,1.5,1,0,1
186_2,24,5,0.75,1,0,1
188_1,21,4,0.5,0.9,-45,0
188_2,21,4,2,0.6,0,1
189_1,7,7,1.75,0.4,0,1
189_2,7,7,0.75,0.8,-45,0
190_1,11,8,2,0.8,0,1
190_2,11,8,1.75,0.5,0,0
191_1,9,14,0.75,0.6,0,1
191_2,9,14,1,1,-90,0
192_1,20,9,1.5,0.8,0,1
192_2,20,9,0.75,0.6,0,1
193_1,11,3,1.5,0.7,-45,0
193_2,11,3,1.25,0.7,-90,0
194_1,13,11,2,0.7,0,1
194_2,13,11,2,0.5,-90,0
195_1,25,9,0.75,0.9,-90,0
195_2,25,9,2,0.9,-45,0
196_1,7,7,2,0.4,-45,0
196_2,7,7,0.5,0.5,0,1
197_1,22,12,1,1,-45,0
197_2,22,12,2,0.8,-90,0
198_1,14,14,2,0.4,-45,0
198_2,14,14,0.5,0.9,0,1
200_1,9,9,2,0.7,0,0
200_2,9,9,2,0.7,-45,0
201_1,15,4,1.75,1,-90,0
201_2,15,4,1.5,0.5,0,1
202_1,19,3,1.75,0.8,0,1
202_2,19,3,1.75,0.3,0,1
203_1,11,6,1.5,0.4,0,0
203_2,11,6,1.25,0.6,-90,0
204_1,10,4,2,1,0,1
204_2,10,4,1.25,0.6,0,1
205_1,21,13,1.75,0.8,0,1
205_2,21,13,0.5,0.7,-90,0
206_1,20,11,0.75,0.4,-90,0
206_2,20,11,1,0.5,-45,0
207_1,11,11,1.25,0.4,0,1
207_2,11,11,0.5,1,0,1
209_1,6,11,0.5,0.5,0,1
209_2,6,11,1,0.3,-45,0
210_1,25,4,1.5,0.3,-45,0
210_2,25,4,0.5,0.5,0,1
211_1,16,3,1.75,1,0,1
211_2,16,3,0.5,0.7,0,1
212_1,11,14,1.75,0.4,0,1
212_2,11,14,1.5,0.5,0,1
213_1,5,4,1.25,0.9,0,1
213_2,5,4,2,0.4,-90,0
216_1,14,7,1.5,0.9,0,1
216_2,14,7,1,0.9,0,1
217_1,19,10,1,1,-90,0
217_2,19,10,1.25,0.6,0,1
218_1,8,6,0.5,0.3,-45,0
218_2,8,6,1.5,0.6,-90,0
219_1,9,9,1,0.3,0,1
219_2,9,9,2,0.4,-45,0
222_1,13,9,2,0.3,-90,0
222_2,13,9,1.75,0.3,0,1
223_1,12,10,2,0.4,0,0
223_2,12,10,0.5,0.3,0,1
224_1,14,8,1.75,1,0,1
224_2,14,8,1,0.4,0,1
225_1,7,12,1.25,0.4,0,1
225_2,7,12,1.75,0.5,0,1
226_1,6,14,1,0.8,-45,0
226_2,6,14,1.25,1,0,1
227_1,23,3,0.5,0.9,0,1
227_2,23,3,2,0.4,0,1
229_1,8,5,0.75,0.5,0,1
229_2,8,5,1.75,0.8,0,1
231_1,25,6,0.75,0.4,-90,0
231_2,25,6,1.75,0.9,0,1
233_1,18,8,1.25,0.9,0,1
233_2,18,8,1.75,0.6,0,1
234_1,14,11,1,1,-90,0
234_2,14,11,1.5,0.5,-45,0
235_1,25,13,1.25,1,-90,0
235_2,25,13,2,0.4,-90,0
236_1,20,14,0.5,0.8,-45,0
236_2,20,14,0.75,1,0,1
237_1,10,10,0.5,0.6,-90,0
237_2,10,10,1.25,0.3,-90,0
238_1,7,12,1,0.6,0,1
238_2,7,12,2,0.3,0,1
239_1,11,14,1.75,0.6,0,1
239_2,11,14,1,1,-90,0
240_1,17,14,0.5,0.3,-45,0
240_2,17,14,1.75,1,0,1
242_1,5,11,0.5,0.9,-45,0
242_2,5,11,2,0.4,0,1
243_1,15,5,0.5,0.6,-90,0
243_2,15,5,1.75,0.3,0,1
244_1,15,12,1,1,-90,0
244_2,15,12,1,0.9,0,1
247_1,16,12,2,0.4,0,1
247_2,16,12,1.5,0.6,-90,0
248_1,12,13,1,0.3,-90,0
248_2,12,13,1.75,0.9,-90,0
249_1,19,10,0.75,1,-90,0
249_2,19,10,1,0.8,-90,0
251_1,13,6,1,0.6,-90,0
251_2,13,6,1.25,1,0,1
252_1,15,7,1.5,0.6,-45,0
252_2,15,7,1.25,0.8,0,1
253_1,6,10,2,0.4,0,1
253_2,6,10,1,0.8,-90,0
254_1,21,12,1.75,0.4,0,1
254_2,21,12,1,0.9,-90,0
256_1,17,3,1.25,0.5,0,1
256_2,17,3,0.75,0.3,0,1
257_1,10,11,1,0.5,-90,0
257_2,10,11,2,0.5,0,1
258_1,12,4,1.25,1,0,1
258_2,12,4,1,0.7,0,1
259_1,8,6,1.25,0.9,0,1
259_2,8,6,2,0.4,0,1
260_1,22,3,0.5,0.9,0,1
260_2,22,3,1,0.9,-45,0
261_1,15,3,2,0.6,0,1
261_2,15,3,0.5,0.7,0,1
262_1,14,8,0.75,0.5,0,1
262_2,14,8,0.5,0.9,0,1
263_1,7,7,0.75,0.3,0,0
263_2,7,7,1.5,0.9,-90,0
266_1,5,5,1.5,0.6,0,1
266_2,5,5,0.5,0.9,0,1
267_1,7,4,1.25,0.4,0,1
267_2,7,4,1.5,1,-45,0
268_1,5,6,0.75,0.6,0,1
268_2,5,6,1.25,1,0,0
269_1,8,12,0.75,0.7,0,1
269_2,8,12,1,0.4,0,1
270_1,20,4,1.5,0.5,0,1
270_2,20,4,1.75,0.7,0,1
271_1,5,3,2,0.8,-90,0
271_2,5,3,1.5,0.7,0,1
272_1,25,14,0.5,0.3,-90,0
272_2,25,14,1,0.6,0,1
273_1,22,10,0.75,0.6,0,1
273_2,22,10,2,0.6,-45,0
274_1,20,13,0.5,0.7,-45,0
274_2,20,13,1.75,0.6,-45,0
275_1,11,10,1.5,0.4,0,1
275_2,11,10,1.75,0.3,0,1
276_1,20,14,0.75,0.5,-45,0
276_2,20,14,1.25,0.5,-90,0
277_1,8,11,1.25,0.4,-90,0
277_2,8,11,1.25,0.5,-45,0
278_1,19,8,2,0.5,-45,0
278_2,19,8,2,0.9,0,1
279_1,5,14,1.25,0.3,0,1
279_2,5,14,2,0.8,0,1
280_1,19,5,2,0.5,0,1
280_2,19,5,1.25,0.3,0,1
281_1,12,6,2,0.7,-45,0
281_2,12,6,0.5,0.7,0,1
282_1,6,4,1.25,0.8,-45,0
282_2,6,4,1.5,0.8,-90,0
283_1,18,5,1.5,0.6,0,1
283_2,18,5,1.25,1,-90,0
284_1,24,13,2,0.5,0,1
284_2,24,13,0.5,0.8,0,1
286_1,10,7,1.5,0.8,0,1
286_2,10,7,2,0.7,-45,0
287_1,16,3,1.5,0.9,0,1
287_2,16,3,2,0.4,0,1
288_1,11,10,0.5,0.5,-45,0
288_2,11,10,0.5,0.8,0,1
289_1,20,4,1.5,0.8,-90,0
289_2,20,4,0.75,0.3,-90,0
290_1,24,10,1.5,0.5,-45,0
290_2,24,10,2,0.5,-90,0
292_1,20,13,1.5,0.3,-45,0
292_2,20,13,1,0.7,0,1
293_1,12,5,1,0.8,-45,0
293_2,12,5,1,0.9,0,1
295_1,8,5,0.75,0.5,0,1
295_2,8,5,0.5,0.7,-45,0
296_1,16,10,1.5,1,0,1
296_2,16,10,1.75,0.4,-90,0
297_1,16,12,1,0.8,-90,0
297_2,16,12,2,0.3,0,1
298_1,8,11,2,0.5,0,1
298_2,8,11,1.5,0.8,0,1
299_1,12,8,1.75,0.6,0,1
299_2,12,8,0.5,0.8,-45,0
301_1,6,13,1,0.4,-45,0
301_2,6,13,0.5,0.5,0,1
302_1,14,8,0.5,0.7,-45,0
302_2,14,8,1.75,0.4,-45,0
303_1,5,10,0.75,0.7,0,1
303_2,5,10,0.5,0.8,-45,0
305_1,9,3,1.5,1,0,1
305_2,9,3,1.75,0.8,-90,0
306_1,19,6,1.25,0.3,-45,0
306_2,19,6,1.5,0.5,0,1
307_1,23,5,1,0.6,0,1
307_2,23,5,1.25,0.3,0,1
308_1,10,8,2,0.4,-90,0
308_2,10,8,0.75,0.3,0,1
309_1,5,8,1.25,0.3,0,1
309_2,5,8,1.75,0.8,0,1
311_1,20,8,1,0.8,-90,0
311_2,20,8,1.5,0.7,0,1
312_1,14,3,1.75,0.7,0,1
312_2,14,3,1.75,0.5,-45,0
313_1,16,12,1.25,0.6,-90,0
313_2,16,12,2,1,0,1
314_1,24,3,1.25,0.9,0,1
314_2,24,3,0.75,0.3,0,1
315_1,17,11,0.5,0.3,-90,0
315_2,17,11,1.75,0.7,0,1
316_1,13,5,1.25,0.6,0,1
316_2,13,5,1.75,1,0,1
317_1,5,5,1.75,0.5,0,0
317_2,5,5,2,0.5,0,1
318_1,18,5,0.5,0.6,0,1
318_2,18,5,1.75,1,0,1
319_1,8,7,1.25,0.4,0,1
319_2,8,7,1,0.7,-45,0
320_1,21,6,2,0.3,-45,0
320_2,21,6,1.75,0.6,-45,0
321_1,10,3,1.5,0.8,0,0
321_2,10,3,0.75,1,-45,0
322_1,19,11,1.5,1,-45,0
322_2,19,11,2,0.9,0,1
323_1,5,7,0.5,0.7,0,1
323_2,5,7,2,0.3,0,0
325_1,12,8,0.5,0.9,0,1
325_2,12,8,1.5,1,0,1
326_1,16,10,0.5,0.3,-45,0
326_2,16,10,0.5,0.6,0,1
329_1,20,13,1,0.7,-90,0
329_2,20,13,1.25,0.6,0,1
331_1,17,4,2,0.6,0,1
331_2,17,4,2,0.6,0,0
332_1,21,13,1.5,1,0,1
332_2,21,13,1.5,0.4,0,1
333_1,9,12,0.75,0.5,0,1
333_2,9,12,0.75,0.6,-90,0
335_1,5,7,0.75,0.9,0,1
335_2,5,7,1.5,0.6,0,1
336_1,6,5,1.25,0.6,0,0
336_2,6,5,1.25,0.9,-90,0
337_1,11,6,1.75,0.5,-45,0
337_2,11,6,0.75,0.9,-45,0
339_1,8,3,1,0.5,0,1
339_2,8,3,1.5,0.5,0,0
340_1,5,5,1,0.7,0,1
340_2,5,5,1.5,0.4,0,1
341_1,14,8,0.5,0.3,-90,0
341_2,14,8,0.5,0.4,0,1
342_1,25,11,0.75,0.5,-90,0
342_2,25,11,0.75,1,-90,0
344_1,10,6,0.75,0.8,0,1
344_2,10,6,1.75,0.9,0,0
345_1,22,4,1.75,0.6,0,1
345_2,22,4,1,0.8,0,1
346_1,20,9,1.75,0.7,0,1
346_2,20,9,0.75,1,0,1
349_1,5,4,1.25,0.9,-45,0
349_2,5,4,0.5,0.8,0,1
350_1,12,9,1.5,0.5,-90,0
350_2,12,9,2,1,0,1
351_1,15,7,1.75,0.9,0,1
351_2,15,7,1,0.3,-90,0
352_1,12,10,1,0.4,0,1
352_2,12,10,1,0.5,-90,0
354_1,17,4,2,0.8,0,0
354_2,17,4,1.25,0.6,0,1
355_1,16,10,0.75,0.6,-90,0
355_2,16,10,0.75,0.8,0,1
358_1,18,7,0.5,0.4,-90,0
358_2,18,7,0.75,0.9,-45,0
359_1,7,4,1,0.5,0,1
359_2,7,4,0.75,0.9,0,1
360_1,15,3,1.75,0.3,0,0
360_2,15,3,0.5,0.7,0,1
361_1,20,6,2,0.8,0,1
361_2,20,6,1.5,0.6,0,1
362_1,25,10,1.5,0.9,0,1
362_2,25,10,2,0.9,0,1
363_1,18,11,1.5,0.4,0,1
363_2,18,11,0.5,0.8,0,1
365_1,10,7,1.25,0.8,-45,0
365_2,10,7,0.75,1,0,1
366_1,21,11,1,0.5,0,1
366_2,21,11,0.75,0.7,-45,0
367_1,8,3,1.25,0.7,0,1
367_2,8,3,0.5,0.3,0,1
368_1,13,8,1.25,0.4,-90,0
368_2,13,8,0.5,1,0,1
369_1,20,6,1.75,0.5,-90,0
369_2,20,6,1.5,0.3,-45,0
370_1,18,14,0.75,0.4,0,1
370_2,18,14,1.25,0.9,-45,0
371_1,5,7,1.75,0.9,-45,0
371_2,5,7,2,0.7,-45,0
372_1,16,8,2,1,0,0
372_2,16,8,1.75,0.3,0,1
373_1,16,9,0.75,0.7,0,1
373_2,16,9,2,0.8,0,1
374_1,15,9,0.75,0.8,0,1
374_2,15,9,0.75,0.9,0,1
375_1,21,14,1,0.3,-90,0
375_2,21,14,0.5,0.8,0,1
376_1,13,3,1.75,0.8,0,1
376_2,13,3,1,0.4,0,1
378_1,17,7,1.25,0.3,0,1
378_2,17,7,1,0.5,-45,0
379_1,18,8,2,0.5,-90,0
379_2,18,8,1.25,0.5,0,1
380_1,6,12,1.5,0.9,-45,0
380_2,6,12,1.25,0.8,0,1
381_1,22,7,1.5,0.7,-45,0
381_2,22,7,2,0.5,0,1
382_1,7,6,1.25,0.3,0,1
382_2,7,6,1.25,1,0,0
383_1,21,10,1.5,0.9,-45,0
383_2,21,10,1,0.9,-45,0
385_1,19,4,2,0.6,-90,0
385_2,19,4,2,0.3,0,0
387_1,11,7,1.25,0.7,0,1
387_2,11,7,1.5,1,0,1
388_1,5,9,0.5,0.8,0,1
388_2,5,9,2,1,0,1
389_1,16,4,0.5,0.8,0,1
389_2,16,4,0.5,0.5,-45,0
390_1,9,4,1.75,0.9,0,0
390_2,9,4,1,0.7,0,1
392_1,10,11,0.5,0.9,0,1
392_2,10,11,1.75,1,-45,0
393_1,17,14,0.5,0.8,-90,0
393_2,17,14,2,0.7,-45,0
397_1,9,8,1,0.7,-45,0
397_2,9,8,1.25,0.7,0,1
398_1,16,3,0.75,0.6,0,1
398_2,16,3,1.75,1,0,1
399_1,5,6,1,0.3,-45,0
399_2,5,6,1.75,0.4,0,1
400_1,9,9,1.5,0.8,0,1
400_2,9,9,1.25,0.6,0,0
401_1,17,8,1.5,0.8,0,1
401_2,17,8,0.75,0.4,-45,0
402_1,5,13,1,0.4,0,1
402_2,5,13,1.25,0.7,0,1
403_1,21,9,2,0.9,-45,0
403_2,21,9,1,0.7,0,1
404_1,15,7,1.5,0.3,-45,0
404_2,15,7,0.5,0.7,-90,0
406_1,14,11,1.75,0.3,0,1
406_2,14,11,1,0.4,0,1
407_1,5,6,1.25,1,0,1
407_2,5,6,0.75,0.3,0,1
408_1,7,3,1.25,0.6,0,1
408_2,7,3,1.75,0.6,-45,0
409_1,18,14,1,0.3,0,1
409_2,18,14,1.75,0.9,0,1
410_1,13,6,1.5,0.6,0,1
410_2,13,6,1.25,0.6,0,1
411_1,8,7,1.25,0.8,-45,0
411_2,8,7,0.75,0.5,0,1
412_1,5,13,1.75,0.4,0,1
412_2,5,13,2,0.7,0,0
413_1,15,6,1,0.9,-90,0
413_2,15,6,2,1,0,1
414_1,11,13,0.5,0.5,-90,0
414_2,11,13,1.5,1,0,1
415_1,21,4,1,1,0,1
415_2,21,4,0.75,0.7,0,1
416_1,18,7,1.75,0.8,0,1
416_2,18,7,0.5,0.9,-45,0
417_1,9,9,2,1,0,0
417_2,9,9,2,0.9,0,1
418_1,9,9,1.5,0.5,-90,0
418_2,9,9,1.25,0.5,0,1
419_1,15,4,2,1,0,1
419_2,15,4,0.75,1,-90,0
420_1,10,11,1.5,0.3,0,1
420_2,10,11,1,0.4,-45,0
421_1,11,7,2,0.4,-90,0
421_2,11,7,2,0.7,0,0
423_1,25,7,2,0.7,0,1
423_2,25,7,1.5,0.3,-90,0
424_1,25,6,1,0.7,0,1
424_2,25,6,0.5,0.3,0,1
425_1,13,3,1.75,0.8,0,1
425_2,13,3,2,0.7,0,0
426_1,13,8,1,0.9,-90,0
426_2,13,8,0.75,1,0,1
427_1,15,12,2,0.8,0,1
427_2,15,12,1.75,1,0,1
428_1,21,9,1.5,0.9,-90,0
428_2,21,9,1,0.5,0,1
429_1,24,13,1.5,0.4,0,1
429_2,24,13,1.25,0.5,0,1
430_1,16,9,1.5,0.7,0,1
430_2,16,9,1.75,0.5,0,1
431_1,6,5,0.75,1,-45,0
431_2,6,5,0.75,0.3,0,1
433_1,7,3,2,0.8,0,1
433_2,7,3,1.25,0.3,0,1
434_1,14,14,1.25,0.8,0,1
434_2,14,14,1.5,1,0,1
435_1,10,3,1,0.7,-90,0
435_2,10,3,1.25,0.3,0,1
436_1,7,3,2,0.3,-90,0
436_2,7,3,0.75,0.6,0,0
