idx,name,nbar,width,bandwidth
151,75_2,9,400,1
152,76_1,10,700,0.55
153,76_2,10,400,0.85
154,77_1,20,400,0.25
155,77_2,20,400,0.25
156,78_2,19,700,1
157,78_1,19,600,0.55
158,79_1,10,1000,0.85
159,79_2,10,600,0.1
160,80_2,15,800,0.1
161,80_1,15,1100,0.7
162,81_2,14,1000,0.7
163,81_1,14,1100,0.85
164,82_1,26,300,0.1
165,82_2,26,600,0.1
166,83_2,23,700,0.85
167,83_1,23,300,0.4
168,84_1,24,700,0.85
169,84_2,24,500,0.25
170,85_2,13,400,0.25
171,85_1,13,1000,1
172,86_1,22,900,0.4
173,86_2,22,900,0.25
174,87_1,9,700,0.1
175,87_2,9,700,0.25
176,88_1,12,300,0.4
177,88_2,12,800,0.55
178,89_2,10,900,0.4
179,89_1,10,1100,0.7
180,90_2,10,1100,0.7
181,90_1,10,1000,0.7
182,91_2,17,700,1
183,91_1,17,500,0.1
184,92_2,14,800,0.85
185,92_1,14,800,0.1
186,93_1,5,1100,0.55
187,93_2,5,1100,0.4
188,94_2,13,900,0.85
189,94_1,13,1000,0.7
190,95_2,5,1100,0.1
191,95_1,5,1000,0.25
192,96_1,26,1100,0.85
193,96_2,26,300,0.85
194,97_1,23,700,1
195,97_2,23,1100,1
196,98_2,21,400,1
197,98_1,21,300,0.85
198,99_2,18,300,0.4
199,99_1,18,400,0.85
200,100_2,21,500,0.1
201,100_1,21,700,0.1
202,101_1,5,700,0.1
203,101_2,5,400,0.1
204,102_2,22,700,1
205,102_1,22,1000,0.7
206,103_2,23,1000,0.1
207,103_1,23,600,0.85
208,104_1,4,500,0.55
209,104_2,4,1000,0.55
210,105_2,5,1100,0.1
211,105_1,5,600,0.25
212,106_1,5,800,0.7
213,106_2,5,900,0.7
214,107_2,18,1100,0.7
215,107_1,18,400,0.55
216,108_2,25,1000,0.85
217,108_1,25,600,0.85
218,109_2,10,600,0.25
219,109_1,10,600,0.85
220,110_2,15,1100,0.85
221,110_1,15,500,0.25
222,111_1,18,600,0.55
223,111_2,18,1000,0.7
224,112_1,27,400,0.1
225,112_2,27,500,1
226,113_2,23,500,0.4
227,113_1,23,1100,0.55
228,114_2,21,900,0.85
229,114_1,21,700,0.25
230,115_2,28,900,0.25
231,115_1,28,700,1
232,116_1,9,500,0.7
233,116_2,9,700,0.1
234,117_1,5,1100,0.25
235,117_2,5,700,0.25
236,118_2,5,1000,0.25
237,118_1,5,1100,0.4
238,119_1,13,400,0.1
239,119_2,13,700,0.4
240,120_1,13,400,0.55
241,120_2,13,300,0.4
242,121_1,26,600,0.4
243,121_2,26,600,0.25
244,122_1,9,500,0.25
245,122_2,9,600,0.7
246,123_1,18,800,0.85
247,123_2,18,500,0.85
248,124_1,26,500,0.85
249,124_2,26,800,0.55
250,125_2,27,1100,0.25
251,125_1,27,1100,0.1
252,126_1,15,900,0.7
253,126_2,15,300,0.4
254,127_2,10,1000,0.85
255,127_1,10,700,0.25
256,128_1,25,900,0.1
257,128_2,25,1100,0.4
258,129_2,5,600,0.4
259,129_1,5,800,0.4
260,130_1,20,800,0.1
261,130_2,20,800,0.4
262,131_1,10,600,0.85
263,131_2,10,400,0.25
264,132_1,27,300,0.55
265,132_2,27,300,0.7
266,133_2,28,900,0.7
267,133_1,28,1100,0.85
268,134_1,23,700,0.1
269,134_2,23,1000,0.1
270,135_2,5,1000,0.7
271,135_1,5,1100,0.55
272,136_2,18,300,0.1
273,136_1,18,300,0.4
274,137_2,17,500,0.25
275,137_1,17,600,1
276,138_1,22,300,0.85
277,138_2,22,700,0.1
278,139_2,5,400,0.1
279,139_1,5,900,0.4
280,140_2,10,400,1
281,140_1,10,300,0.1
282,141_1,18,300,1
283,141_2,18,600,0.55
284,142_2,13,700,0.7
285,142_1,13,800,1
286,143_1,10,300,1
287,143_2,10,800,0.1
288,144_1,5,1100,0.85
289,144_2,5,800,0.4
290,145_1,18,600,0.85
291,145_2,18,900,0.1
292,146_1,25,400,1
293,146_2,25,900,0.7
294,147_2,4,500,0.55
295,147_1,4,600,1
296,148_1,8,700,0.55
297,148_2,8,500,0.85
298,149_1,9,700,1
299,149_2,9,300,0.7
300,150_2,24,1000,0.55
301,150_1,24,1000,0.25
302,151_1,12,400,1
303,151_2,12,500,0.25
304,152_2,15,900,0.85
305,152_1,15,800,0.85
306,153_1,22,1100,0.25
307,153_2,22,400,0.7
308,154_1,17,1100,0.1
309,154_2,17,500,0.4
310,155_1,26,400,0.25
311,155_2,26,1000,0.7
312,156_1,20,800,0.25
313,156_2,20,800,0.7
314,157_2,14,1000,1
315,157_1,14,600,0.55
316,158_1,15,700,0.1
317,158_2,15,900,0.4
318,159_2,10,700,0.25
319,159_1,10,1000,1
320,160_2,9,600,0.1
321,160_1,9,500,0.1
322,161_2,5,1100,0.7
323,161_1,5,900,0.7
324,162_2,17,900,0.7
325,162_1,17,900,0.1
326,163_1,26,700,0.7
327,163_2,26,500,0.25
328,164_2,12,700,0.4
329,164_1,12,300,0.1
330,165_2,24,900,0.4
331,165_1,24,500,1
332,166_2,14,400,1
333,166_1,14,900,0.7
334,167_2,19,1000,0.7
335,167_1,19,1100,0.4
336,168_1,18,900,0.7
337,168_2,18,1000,1
338,169_1,10,300,0.25
339,169_2,10,900,0.85
340,170_2,4,400,0.4
341,170_1,4,800,0.4
342,171_2,16,800,0.85
343,171_1,16,800,0.25
344,172_2,19,500,0.7
345,172_1,19,1000,0.55
346,173_1,18,500,0.1
347,173_2,18,1000,1
348,174_2,18,1000,0.4
349,174_1,18,300,0.55
350,175_1,14,300,0.7
351,175_2,14,400,0.55
352,176_1,25,900,1
353,176_2,25,700,0.25
354,177_1,15,500,0.4
355,177_2,15,700,1
356,178_1,13,300,0.1
357,178_2,13,1100,0.25
358,179_2,10,1000,0.55
359,179_1,10,500,0.1
360,180_1,9,700,1
361,180_2,9,500,0.25
362,181_1,20,1000,0.4
363,181_2,20,1000,0.25
364,182_2,13,1000,0.1
365,182_1,13,300,0.85
366,183_1,17,800,0.1
367,183_2,17,700,0.55
368,184_1,27,300,0.55
369,184_2,27,500,0.55
370,185_1,19,300,0.1
371,185_2,19,900,0.25
372,186_2,5,900,0.1
373,186_1,5,900,0.55
374,187_1,14,500,0.4
375,187_2,14,700,0.85
376,188_1,14,400,0.4
377,188_2,14,700,0.55
378,189_1,20,400,0.7
379,189_2,20,800,0.4
380,190_2,23,800,0.85
381,190_1,23,700,0.4
382,191_2,23,800,0.25
383,191_1,23,400,0.4
384,192_1,14,500,0.4
385,192_2,14,900,0.85
386,193_2,28,1100,0.55
387,193_1,28,1000,0.1
388,194_1,5,600,0.1
389,194_2,5,300,0.1
390,195_1,10,700,0.7
391,195_2,10,1100,0.7
392,196_1,24,300,0.7
393,196_2,24,400,0.55
394,197_2,14,800,0.25
395,197_1,14,300,0.85
396,198_1,15,900,0.4
397,198_2,15,1000,1
398,199_1,9,400,1
399,199_2,9,900,0.55
400,200_2,17,1100,1
401,200_1,17,900,0.55
402,201_1,24,1100,1
403,201_2,24,400,1
404,202_1,10,1000,0.25
405,202_2,10,500,0.7
406,203_1,20,600,0.4
407,203_2,20,600,0.25
408,204_2,22,1100,0.55
409,204_1,22,700,0.25
410,205_2,12,300,0.4
411,205_1,12,1100,0.7
412,206_2,19,1000,0.85
413,206_1,19,800,0.4
414,207_1,22,300,0.25
415,207_2,22,300,0.85
416,208_2,26,400,0.4
417,208_1,26,1100,0.85
418,209_2,14,600,0.7
419,209_1,14,600,1
420,210_2,18,400,0.85
421,210_1,18,400,1
422,211_2,18,1000,1
423,211_1,18,600,0.85
424,212_2,25,300,0.7
425,212_1,25,900,0.85
426,213_1,21,500,0.1
427,213_2,21,400,0.85
428,214_2,10,300,0.4
429,214_1,10,700,0.55
430,215_2,4,600,0.1
431,215_1,4,900,0.1
432,216_2,14,500,0.7
433,216_1,14,900,0.1
434,217_1,23,800,0.85
435,217_2,23,1100,0.55
436,218_1,16,1100,0.1
437,218_2,16,300,0.85
438,219_2,5,900,0.25
439,219_1,5,600,0.85
440,220_1,23,500,0.7
441,220_2,23,800,0.4
442,221_2,9,300,0.25
443,221_1,9,700,1
444,222_1,5,600,0.1
445,222_2,5,700,0.25
446,223_1,25,600,0.55
447,223_2,25,400,0.25
448,224_2,14,400,0.1
449,224_1,14,300,0.55
450,225_1,23,600,0.55
451,225_2,23,600,0.7
452,226_1,25,500,0.25
453,226_2,25,1100,0.7
454,227_1,14,800,0.1
455,227_2,14,400,0.4
456,228_1,5,300,0.1
457,228_2,5,900,0.4
458,229_2,8,600,0.55
459,229_1,8,900,0.7
460,230_2,25,1100,0.7
461,230_1,25,1000,0.55
462,231_2,5,500,0.25
463,231_1,5,400,0.7
464,232_1,5,300,1
465,232_2,5,400,0.4
466,233_2,17,300,0.1
467,233_1,17,700,0.1
468,234_1,10,800,0.7
469,234_2,10,900,0.4
470,235_2,22,400,1
471,235_1,22,300,0.55
472,236_1,5,600,0.55
473,236_2,5,800,0.85
474,237_1,21,700,0.25
475,237_2,21,1100,0.55
476,238_1,19,700,0.85
477,238_2,19,400,0.25
478,239_1,22,400,1
479,239_2,22,800,0.25
480,240_1,24,1000,0.25
481,240_2,24,1000,0.1
482,241_2,17,500,0.85
483,241_1,17,900,0.4
484,242_2,22,600,0.1
485,242_1,22,500,0.55
486,243_1,12,300,0.7
487,243_2,12,1000,0.85
488,244_1,28,1100,0.4
489,244_2,28,800,0.55
490,245_1,15,600,0.7
491,245_2,15,1000,0.55
492,246_2,5,900,1
493,246_1,5,800,1
494,247_1,5,500,0.1
495,247_2,5,800,0.1
496,248_2,4,800,0.7
497,248_1,4,600,0.25
498,249_2,25,600,0.25
499,249_1,25,800,0.1
500,250_2,5,900,0.7
501,250_1,5,1100,1
502,251_1,23,800,0.7
503,251_2,23,600,0.85
504,252_2,20,1100,0.4
505,252_1,20,500,0.25
506,253_1,23,400,0.7
507,253_2,23,300,0.55
508,254_1,23,400,0.7
509,254_2,23,800,0.4
510,255_1,4,600,0.4
511,255_2,4,300,0.25
512,256_2,28,500,0.1
513,256_1,28,1100,0.85
514,257_2,23,800,0.1
515,257_1,23,400,0.4
516,258_2,24,500,1
517,258_1,24,600,1
518,259_1,10,300,0.1
519,259_2,10,1000,1
520,260_2,19,300,0.4
521,260_1,19,600,0.4
522,261_1,20,500,0.55
523,261_2,20,300,0.7
524,262_1,18,1000,0.85
525,262_2,18,700,0.1
526,263_2,5,300,0.4
527,263_1,5,1100,1
528,264_1,23,500,1
529,264_2,23,500,0.25
530,265_1,5,800,0.25
531,265_2,5,1100,0.4
532,266_1,20,1000,0.1
533,266_2,20,1000,0.55
534,267_1,14,800,1
535,267_2,14,500,0.4
536,268_1,14,700,1
537,268_2,14,400,0.7
538,269_1,23,600,0.85
539,269_2,23,900,0.4
540,270_1,8,600,0.1
541,270_2,8,500,0.85
542,271_1,17,400,0.4
543,271_2,17,700,0.1
544,272_2,15,900,1
545,272_1,15,400,0.85
546,273_1,23,900,0.7
547,273_2,23,700,0.4
548,274_2,24,500,0.55
549,274_1,24,500,0.25
550,275_1,19,500,0.7
551,275_2,19,400,0.7
552,276_1,9,600,0.25
553,276_2,9,300,0.1
554,277_2,9,900,0.7
555,277_1,9,600,0.85
556,278_1,13,1100,0.55
557,278_2,13,700,0.1
558,279_1,14,900,0.7
559,279_2,14,500,1
560,280_2,10,800,0.55
561,280_1,10,1000,0.1
562,281_2,13,700,0.1
563,281_1,13,1100,0.85
564,282_2,22,500,0.1
565,282_1,22,300,0.7
566,283_1,18,800,0.1
567,283_2,18,800,0.4
568,284_2,21,1100,0.1
569,284_1,21,900,0.4
570,285_1,23,500,0.25
571,285_2,23,400,1
572,286_1,15,700,0.4
573,286_2,15,500,0.85
574,287_1,15,900,0.85
575,287_2,15,800,0.4
576,288_1,20,800,0.7
577,288_2,20,1100,0.85
578,289_1,25,400,0.25
579,289_2,25,500,0.25
580,290_1,14,500,1
581,290_2,14,900,0.1
582,291_1,5,1000,0.55
583,291_2,5,700,1
584,292_1,16,900,0.55
585,292_2,16,500,0.4
586,293_1,24,300,0.7
587,293_2,24,700,0.1
588,294_2,14,500,0.1
589,294_1,14,700,1
590,295_2,19,600,0.4
591,295_1,19,1000,0.25
592,296_1,26,700,0.7
593,296_2,26,900,0.4
594,297_1,15,1000,0.85
595,297_2,15,1000,0.1
596,298_2,10,300,0.55
597,298_1,10,900,0.4
598,299_1,10,500,0.4
599,299_2,10,1000,0.85
600,300_2,22,1100,0.25
601,300_1,22,500,0.7
602,301_2,17,400,0.4
603,301_1,17,500,0.4
604,302_2,24,300,1
605,302_1,24,400,0.55
606,303_2,18,300,0.7
607,303_1,18,600,0.1
608,304_2,17,1100,0.55
609,304_1,17,500,0.7
610,305_2,22,1100,0.4
611,305_1,22,700,0.1
612,306_2,18,800,0.4
613,306_1,18,500,0.55
614,307_2,26,300,1
615,307_1,26,900,1
616,308_1,10,600,0.85
617,308_2,10,800,0.4
618,309_2,5,300,0.25
619,309_1,5,300,0.7
620,310_1,8,400,0.7
621,310_2,8,300,0.85
622,311_2,13,400,0.7
623,311_1,13,600,0.25
624,312_2,26,500,0.25
625,312_1,26,400,0.25
626,313_2,22,800,0.4
627,313_1,22,400,1
628,314_2,24,500,0.25
629,314_1,24,400,0.25
630,315_1,9,900,0.55
631,315_2,9,1000,0.7
632,316_1,18,1100,0.1
633,316_2,18,700,0.4
634,317_2,14,500,0.85
635,317_1,14,700,0.4
636,318_1,5,500,0.25
637,318_2,5,1100,0.85
638,319_2,9,300,1
639,319_1,9,800,0.85
640,320_2,5,400,0.85
641,320_1,5,700,0.85
642,321_2,24,1100,0.4
643,321_1,24,500,0.25
644,322_1,13,800,0.4
645,322_2,13,1100,0.25
646,323_2,10,1100,0.55
647,323_1,10,1100,0.85
648,324_1,19,1000,0.4
649,324_2,19,1000,0.4
650,325_1,12,500,0.85
651,325_2,12,800,0.4
652,326_1,5,1000,0.7
653,326_2,5,1000,0.55
654,327_2,18,600,0.4
655,327_1,18,800,0.25
656,328_1,19,800,0.25
657,328_2,19,600,0.55
658,329_2,18,900,1
659,329_1,18,300,0.1
660,330_1,19,1000,0.85
661,330_2,19,300,0.1
662,331_2,15,1000,0.85
663,331_1,15,400,0.1
664,332_1,15,900,0.4
665,332_2,15,300,0.7
666,333_1,21,900,0.25
667,333_2,21,600,0.55
668,334_2,4,1000,0.4
669,334_1,4,700,1
670,335_1,13,1100,0.4
671,335_2,13,700,1
672,336_1,24,800,1
673,336_2,24,300,0.7
674,337_1,27,600,0.55
675,337_2,27,500,1
676,338_2,19,600,0.1
677,338_1,19,1100,0.1
678,339_1,23,1000,1
679,339_2,23,300,0.85
680,340_1,25,1000,0.7
681,340_2,25,800,0.55
682,341_1,18,500,0.85
683,341_2,18,1100,0.25
684,342_1,14,700,0.1
685,342_2,14,900,0.7
686,343_1,27,700,0.25
687,343_2,27,400,0.1
688,344_2,10,900,0.7
689,344_1,10,500,0.4
690,345_1,14,300,1
691,345_2,14,700,0.55
692,346_2,18,1100,0.7
693,346_1,18,1100,0.7
694,347_2,13,300,1
695,347_1,13,600,0.4
696,348_1,15,700,0.55
697,348_2,15,600,0.7
698,349_2,5,1000,0.85
699,349_1,5,800,0.4
700,350_1,23,1000,0.85
701,350_2,23,700,1
702,351_2,9,700,0.85
703,351_1,9,300,1
704,352_1,15,800,0.7
705,352_2,15,900,1
706,353_1,28,300,0.4
707,353_2,28,500,0.55
708,354_1,15,500,0.25
709,354_2,15,900,0.25
710,355_2,5,800,0.55
711,355_1,5,800,1
712,356_1,24,600,1
713,356_2,24,900,0.25
714,357_2,5,1100,0.1
715,357_1,5,400,0.1
716,358_2,25,300,0.1
717,358_1,25,700,0.25
718,359_2,5,1100,0.25
719,359_1,5,900,1
720,360_1,26,1000,0.55
721,360_2,26,700,0.1
722,361_2,20,600,0.25
723,361_1,20,400,0.4
724,362_2,5,1100,0.55
725,362_1,5,800,0.25
726,363_1,18,500,0.4
727,363_2,18,1100,0.4
728,364_2,23,700,0.55
729,364_1,23,900,0.85
730,365_2,10,900,0.55
731,365_1,10,300,0.1
732,366_2,10,300,0.25
733,366_1,10,1100,0.25
734,367_1,23,900,0.55
735,367_2,23,900,1
736,368_2,15,1000,0.4
737,368_1,15,1000,1
738,369_2,23,1100,0.55
739,369_1,23,300,0.4
740,370_1,23,1100,0.4
741,370_2,23,400,1
742,371_1,26,700,1
743,371_2,26,700,0.85
744,372_1,5,300,0.1
745,372_2,5,1100,0.55
746,373_2,9,300,0.85
747,373_1,9,1000,0.25
748,374_1,22,400,1
749,374_2,22,1100,0.55
750,375_2,24,500,0.55
751,375_1,24,700,0.25
752,376_2,10,800,0.25
753,376_1,10,700,0.55
754,377_2,9,400,0.7
755,377_1,9,800,0.85
756,378_1,5,500,0.25
757,378_2,5,300,0.85
758,379_2,9,800,0.25
759,379_1,9,500,1
760,380_1,14,900,0.1
761,380_2,14,300,1
762,381_1,5,1000,1
763,381_2,5,700,0.55
764,382_1,10,1000,0.85
765,382_2,10,600,0.7
766,383_2,5,600,0.25
767,383_1,5,900,0.4
768,384_1,20,900,0.55
769,384_2,20,900,1
770,385_2,16,900,1
771,385_1,16,400,0.1
772,386_1,28,900,0.1
773,386_2,28,1100,0.55
774,387_1,15,400,0.55
775,387_2,15,400,0.7
776,388_2,15,600,0.4
777,388_1,15,300,0.1
778,389_1,9,600,0.55
779,389_2,9,900,1
780,390_1,25,600,0.1
781,390_2,25,1100,0.1
782,391_1,15,500,0.7
783,391_2,15,400,1
784,392_1,13,1000,0.55
785,392_2,13,800,0.85
786,393_1,23,1000,0.4
787,393_2,23,800,0.1
788,394_2,5,700,0.4
789,394_1,5,600,0.25
790,395_2,22,1000,1
791,395_1,22,600,0.1
792,396_2,20,600,0.4
793,396_1,20,1100,0.7
794,397_1,26,1100,0.4
795,397_2,26,700,0.4
796,398_2,19,600,0.85
797,398_1,19,900,0.55
798,399_2,5,500,0.25
799,399_1,5,400,0.4
800,400_1,23,400,0.1
801,400_2,23,1000,0.7
802,401_1,27,1100,0.25
803,401_2,27,1000,0.4
804,402_1,22,800,0.4
805,402_2,22,400,0.7
806,403_2,5,300,0.85
807,403_1,5,400,0.7
808,404_1,19,800,1
809,404_2,19,800,0.4
810,405_1,19,600,0.85
811,405_2,19,700,0.1
812,406_1,14,1100,0.4
813,406_2,14,1100,0.85
814,407_2,22,600,0.85
815,407_1,22,500,0.7
816,408_2,10,900,0.7
817,408_1,10,300,1
818,409_2,15,300,0.55
819,409_1,15,900,0.4
820,410_2,24,700,0.1
821,410_1,24,1100,0.1
822,411_2,23,600,0.7
823,411_1,23,1000,0.85
824,412_2,5,300,0.4
825,412_1,5,700,0.4
826,413_2,4,1000,1
827,413_1,4,1100,1
828,414_2,26,900,0.25
829,414_1,26,400,0.4
830,415_2,29,400,0.25
831,415_1,29,900,1
832,416_2,24,900,0.85
833,416_1,24,500,0.85
834,417_2,23,400,0.4
835,417_1,23,400,0.1
836,418_2,25,300,0.1
837,418_1,25,900,0.25
838,419_1,23,1100,0.25
839,419_2,23,300,0.85
840,420_2,28,900,0.4
841,420_1,28,900,0.25
842,421_2,10,400,0.7
843,421_1,10,1000,1
844,422_1,15,1100,0.55
845,422_2,15,500,0.4
846,423_2,5,900,0.85
847,423_1,5,1100,0.25
848,424_2,5,400,0.85
849,424_1,5,600,0.55
850,425_2,9,1000,1
851,425_1,9,700,0.4
852,426_2,13,500,0.25
853,426_1,13,1000,0.25
854,427_2,21,600,0.7
855,427_1,21,600,0.7
856,428_2,22,600,0.55
857,428_1,22,500,0.7
858,429_2,4,1000,0.85
859,429_1,4,1100,0.55
860,430_1,10,700,0.85
861,430_2,10,900,0.85
862,431_1,23,300,0.55
863,431_2,23,800,0.4
864,432_1,28,1000,0.1
865,432_2,28,400,0.7
866,433_1,5,1000,1
867,433_2,5,400,0.7
868,434_1,10,500,0.55
869,434_2,10,600,0.7
870,435_1,8,500,0.1
871,435_2,8,300,1
872,436_2,17,800,0.4
873,436_1,17,1100,0.55
874,437_1,5,800,0.7
875,437_2,5,300,0.4
876,438_2,9,900,0.7
877,438_1,9,1100,0.85
878,439_2,29,400,1
879,439_1,29,1000,0.85
880,440_2,26,400,0.4
881,440_1,26,1000,0.7
882,441_2,5,1100,1
883,441_1,5,700,0.55
884,442_2,5,1100,1
885,442_1,5,300,1
886,443_2,19,600,0.55
887,443_1,19,400,1
888,444_2,9,500,0.4
889,444_1,9,500,1
890,445_1,24,500,0.85
891,445_2,24,400,0.55
892,446_1,14,500,0.7
893,446_2,14,500,0.85
894,447_2,22,700,0.1
895,447_1,22,500,0.7
896,448_2,10,1100,0.1
897,448_1,10,700,0.7
898,449_1,22,400,0.1
899,449_2,22,800,1
900,450_2,11,300,0.85
901,450_1,11,400,0.4
902,451_1,27,700,0.7
903,451_2,27,300,0.1
904,452_2,4,600,1
905,452_1,4,900,0.1
906,453_2,28,700,0.55
907,453_1,28,400,0.4
908,454_1,19,400,0.1
909,454_2,19,600,0.55
910,455_2,10,500,0.4
911,455_1,10,900,0.7
912,456_2,21,1000,0.4
913,456_1,21,1100,0.55
914,457_2,5,400,0.7
915,457_1,5,700,1
916,458_1,10,700,0.25
917,458_2,10,300,0.7
918,459_2,9,800,0.85
919,459_1,9,500,1
920,460_1,23,600,0.1
921,460_2,23,400,0.1
922,461_2,8,600,0.55
923,461_1,8,900,0.55
924,462_1,5,900,0.4
925,462_2,5,400,0.1
926,463_2,14,1100,0.4
927,463_1,14,900,0.4
928,464_1,15,800,0.85
929,464_2,15,300,0.25
930,465_2,15,1000,0.7
931,465_1,15,1100,0.4
932,466_1,20,700,0.85
933,466_2,20,700,1
934,467_2,20,900,1
935,467_1,20,700,0.7
936,468_2,14,700,1
937,468_1,14,1100,0.25
938,469_2,10,700,0.85
939,469_1,10,500,0.55
940,470_2,10,600,0.85
941,470_1,10,300,0.7
942,471_1,23,1100,0.25
943,471_2,23,300,0.55
944,472_2,4,600,0.1
945,472_1,4,1000,0.85
946,473_2,17,600,1
947,473_1,17,500,0.25
948,474_2,16,900,0.85
949,474_1,16,400,0.85
950,475_1,9,300,0.55
951,475_2,9,300,0.25
952,476_1,25,800,1
953,476_2,25,600,0.55
954,477_1,22,1100,0.1
955,477_2,22,300,0.1
956,478_1,19,400,0.4
957,478_2,19,1000,0.4
958,479_1,21,400,0.85
959,479_2,21,300,0.25
960,480_1,10,500,0.85
961,480_2,10,1000,0.1
962,481_1,5,700,0.4
963,481_2,5,700,0.85
964,482_2,10,1100,0.85
965,482_1,10,600,1
966,483_1,18,800,0.7
967,483_2,18,400,0.1
968,484_2,5,1100,0.85
969,484_1,5,400,0.4
970,485_2,14,500,0.7
971,485_1,14,900,0.7
972,486_1,10,300,0.25
973,486_2,10,300,0.25
974,487_1,9,400,0.25
975,487_2,9,700,0.55
976,488_2,24,900,0.85
977,488_1,24,700,0.1
978,489_2,8,900,0.7
979,489_1,8,700,0.55
980,490_1,24,1100,0.25
981,490_2,24,800,0.4
982,491_2,18,700,1
983,491_1,18,400,0.7
984,492_1,14,600,1
985,492_2,14,1000,1
986,493_1,5,700,0.85
987,493_2,5,1000,0.1
988,494_2,11,400,0.55
989,494_1,11,600,0.85
990,495_2,24,900,0.55
991,495_1,24,700,0.25
992,496_2,10,500,0.7
993,496_1,10,400,0.1
994,497_2,14,500,0.1
995,497_1,14,400,0.25
996,498_1,24,900,0.7
997,498_2,24,1100,1
998,499_2,14,1100,0.85
999,499_1,14,700,0.7
1000,500_2,10,900,0.4
